"TypeNamespacePrefix","TypeName","QualifiedType","FacetName","FacetValue","Definition"
"aamva_d20","AccidentSeverityCodeSimpleType","aamva_d20:AccidentSeverityCodeSimpleType","enumeration","1","Fatal Accident"
"aamva_d20","AccidentSeverityCodeSimpleType","aamva_d20:AccidentSeverityCodeSimpleType","enumeration","2","Incapacitating Injury Accident"
"aamva_d20","AccidentSeverityCodeSimpleType","aamva_d20:AccidentSeverityCodeSimpleType","enumeration","3","Non-incapacitating Evident Injury"
"aamva_d20","AccidentSeverityCodeSimpleType","aamva_d20:AccidentSeverityCodeSimpleType","enumeration","4","Possible Injury Accident"
"aamva_d20","AccidentSeverityCodeSimpleType","aamva_d20:AccidentSeverityCodeSimpleType","enumeration","5","Non-injury Accident"
"aamva_d20","AccidentSeverityCodeSimpleType","aamva_d20:AccidentSeverityCodeSimpleType","enumeration","9","Unknown"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","00","Clear"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","01","Flood damage"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","02","Fire damage"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","03","Hail damage"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","04","Salt damage"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","05","Vandalism"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","06","Kit"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","07","Dismantled"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","08","Junk"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","09","Rebuilt"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","10","Reconstructed"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","11","Salvage"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","12","Test Vehicle"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","13","Refurbished"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","14","Collision"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","15","Reserved"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","16","Salvage Retention"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","17","Prior Taxi"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","18","Prior Police"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","19","Original Taxi"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","20","Original Police"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","21","Remanufactured"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","22","Gray Market"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","23","Warranty Return"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","24","Antique"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","25","Classic"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","26","Agricultural Vehicle"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","27","Logging Vehicle"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","28","Street Rod"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","29","Vehicle Contains Reissued VIN"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","30","Replica"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","31","Totaled"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","32","Owner Retained"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","33","Bond Posted"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","34","Memorandum Copy"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","35","Parts Only"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","36","Recovered Theft"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","37","Undisclosed Lien"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","38","Prior Owner Retained"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","39","Vehicle Non-conformity Uncorrected"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","40","Vehicle Non-conformity Corrected"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","41","Vehicle Safety Defect Uncorrected"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","42","Vehicle Safety Defect Corrected"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","43","VIN replaced by a new state assigned VIN"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","45","Gray Market"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","46","Gray Market"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","68","Actual"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","69","Not Actual"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","70","Not Actual - Odometer tampering verified"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","71","Exempt from Odometer Disclosure"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","72","Exceeds Mechanical Limits"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","73","Odometer may be Altered"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","74","Odometer Replaced"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","75","Reading at Time of Renewal"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","76","Odometer Discrepancy"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","77","Call Title Division"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","78","Rectify Previous Exceeds Mechanical Limits Brand"
"aamva_d20","BrandDamagePercentageCategoryCodeSimpleType","aamva_d20:BrandDamagePercentageCategoryCodeSimpleType","enumeration","R","Reported"
"aamva_d20","BrandDamagePercentageCategoryCodeSimpleType","aamva_d20:BrandDamagePercentageCategoryCodeSimpleType","enumeration","T","Threshold"
"aamva_d20","BranderCategoryCodeSimpleType","aamva_d20:BranderCategoryCodeSimpleType","enumeration","I","Insurance Carrier"
"aamva_d20","BranderCategoryCodeSimpleType","aamva_d20:BranderCategoryCodeSimpleType","enumeration","J","Junk Yard"
